"HNA Technology Co., Ltd.",海航
"HNA Technology Co., Ltd.",科技
TBWAShanghai,腾迈
TBWAShanghai,中国
Inke,映客
Inke,直播
Bilibili,哔哩哔哩
Thumbtack,图钉
Guangzhou Shangpin Home Furnishings,尚品
So-Young International,新氧
OneSmart International Education Group Ltd.,精锐
OneSmart International Education Group Ltd.,教育
Equinor,挪威
Equinor,国家
Equinor,石油
Yunji Inc.,云集
OneConnect Technology,平安
OneConnect Technology,金融
OneConnect Technology,壹账通
"ViacomCBS, Inc.",维亚
"ViacomCBS, Inc.",康姆
Veoneer,维宁尔
Alcatel-Lucent Shanghai Bell,阿尔卡特朗讯
Alcatel-Lucent Shanghai Bell,上海
Alcatel-Lucent Shanghai Bell,贝尔
United Space Alliance,联合
United Space Alliance,太空
United Space Alliance,联盟
China Cinda,中国
China Cinda,信达
China Cinda,资产
China Cinda,管理
YY Inc.,欢聚
YY Inc.,时代
Sinohydro Group Limited,中国
Sinohydro Group Limited,水利
Sinohydro Group Limited,水电
Sinohydro Group Limited,建设
Phoenix Contact,菲尼克斯
Phoenix Contact,电气
Huobi Global,火币网
Yango Longking Group,阳光
Yango Longking Group,龙净
New Beijing Chinese Restaurant,北京菜馆
104 Corporation,人力银行
104 Corporation,人力
104 Corporation,银行
99 Ranch Market,大华
99 Ranch Market,超级
99 Ranch Market,市场
99 Ranch Market,大华超级市场
George Weston Limited,乔治威斯顿
Laing O'Rourke,莱恩奥罗克
Raytheon Technologies Corporation,雷神
Raytheon Technologies Corporation,技术
EF Education First,英孚
EF Education First,教育
Kantar,凯度
AEGON N.V.,全球保险集团
AEGON N.V.,全球
AEGON N.V.,保险
AEON Group,永旺
AEON Group,永旺集团有限公司
AB Electrolux,伊莱克斯股份有限公司
AB Electrolux,伊莱克斯
AU Optronics Corporation,友达光电股份有限公司
AU Optronics Corporation,友达
AU Optronics Corporation,光电
"ENEOS Holdings, Inc.",引能
"ENEOS Holdings, Inc.",仕
Expro Industrial Company,艾博实业有限公司
Altra Industrial Motion,奥特拉
Altra Industrial Motion,工业
Altra Industrial Motion,传动
BC Hydro,卑诗
BC Hydro,水电
Southern Cross Austereo,南十字星
Southern Cross Austereo,广播
Saudi Basic Industries Corporation,沙特
Saudi Basic Industries Corporation,基础
Saudi Basic Industries Corporation,工业
Quaker Chemical Corporation,奎克
Quaker Chemical Corporation,化学
Nationwide Building Society,全国
Nationwide Building Society,建筑商
Henry Ford Health System,亨利福特
Henry Ford Health System,医疗
Stanford University,美国
Stanford University,斯坦福
Stanford University,大学
Lear Corporation,李尔
American Family Insurance,美国
American Family Insurance,家庭
American Family Insurance,保险
AECOM,艾奕康
Alaska Airlines,阿拉斯加
Alaska Airlines,航空
Medical Mutual of Ohio,俄亥俄州
Medical Mutual of Ohio,医疗
Medical Mutual of Ohio,互助会
Hella KGaA Hueck & Co.,海拉
Hyatt Hotels Corporation,凯悦
Hyatt Hotels Corporation,酒店
The Madison Square Garden Company,麦迪逊
The Madison Square Garden Company,广场
The Madison Square Garden Company,花园
FleishmanHillard Inc.,福莱
Talanx AG,塔兰克斯
University of Washington,美国
University of Washington,华盛顿
University of Washington,大学
Cengage,圣智
Cengage,学习
Cengage,出版
Mandarin Oriental Hotel Group,台北
Mandarin Oriental Hotel Group,文华
Mandarin Oriental Hotel Group,东方
Mandarin Oriental Hotel Group,酒店
Gameloft,智乐
Gameloft,软件
"JFE Holdings, Inc.",日本
"JFE Holdings, Inc.",钢铁
"JFE Holdings, Inc.",工程
"JFE Holdings, Inc.",杰富意
HNA Group,海航
HNA Group,创新
HNA Group,金融
HNA Group,海航
HNA Group,实业
Huaneng Power International,华能
Huaneng Power International,国际
Huaneng Power International,电力
Humana Inc.,哈门
Humana Inc.,那
Informatica,咨科
Informatica,和
Informatica,信
Informatica,北京
FirstBank Holding Company,第一
FirstBank Holding Company,银行
Faurecia,佛吉亚
Swift Transportation,美国
Swift Transportation,转运
Swift Transportation,交通
bioMerieux,生物
bioMerieux,梅里埃
Marvell Technology Group Ltd.,美满
Marvell Technology Group Ltd.,电子
Marvell Technology Group Ltd.,科技
Hersha Hospitality Trust,赫莎
Hersha Hospitality Trust,酒店
Hersha Hospitality Trust,信托
National Bank of Canada,加拿大
National Bank of Canada,国家
National Bank of Canada,银行
UTStarcom Holdings Corp.,斯达康
Camden Property Trust,卡姆登
Camden Property Trust,房地产
Camden Property Trust,信托
Vornado Realty Trust,沃
Vornado Realty Trust,那
Vornado Realty Trust,多
Vornado Realty Trust,房地产
Vornado Realty Trust,信托
Parametric Technology Corporation,美国
Parametric Technology Corporation,参数
Parametric Technology Corporation,技术
Flight Centre Travel Group,飞行
Flight Centre Travel Group,中心
Flight Centre Travel Group,旅游
Punjab & Sind Bank,旁遮普
Punjab & Sind Bank,和
Punjab & Sind Bank,信德
Punjab & Sind Bank,银行
DB Schenker,全球
DB Schenker,国际
DB Schenker,货运
Sun Chemical,太阳
Sun Chemical,化学
Lennox International,雷诺士
Lennox International,国际
Weber Shandwick,万博
Weber Shandwick,宣伟
Kearney,科尔尼
